ds,yhat
2011-01-14,217.87427831575354
2011-01-19,171.9898640947356
2011-01-20,206.380736639589
2011-01-21,223.30817877285085
2011-01-24,230.3992493544933
2011-01-28,216.5630579081485
2011-02-01,199.2246883316932
2011-02-03,173.056303272361
2011-02-04,183.17102586977703
2011-02-05,131.2936360829249
2011-02-09,98.76121168301061
2011-02-13,124.35768907916078
2011-02-15,117.61157347350002
2011-02-16,67.22575687816862
2011-02-21,135.4081831183917
2011-02-23,92.17309022036943
2011-02-25,161.82128581108304
2011-03-01,212.1427696184899
2011-03-03,227.13952619123967
2011-03-07,311.087308991981
2011-03-10,326.86743809334644
2011-03-11,354.45071668766326
2011-03-14,387.4533995073964
2011-03-18,393.74706709856457
2011-03-22,382.37627848317413
2011-03-23,328.16345978038885
2011-03-24,355.2018746092349
2011-03-25,364.04395590108874
2011-03-26,310.4486108789963
2011-03-28,344.4950707691004
2011-03-30,267.1359102296592
2011-03-31,290.64713026925136
2011-04-01,296.89239063849783
2011-04-03,275.41430986724697
2011-04-04,274.7774660449936
2011-04-06,199.46744695927686
2011-04-08,233.55004285875907
2011-04-11,220.644914014544
2011-04-12,206.1156855247268
2011-04-15,193.3404045300323
2011-04-18,190.0208683871526
2011-04-19,178.35157400977755
2011-04-20,127.21261572330957
2011-04-21,158.65585236746446
2011-04-23,126.13336381854687
2011-04-25,176.0180405745663
2011-04-26,166.2680625555382
2011-04-28,150.34340532418344
2011-05-04,121.00547040584406
2011-05-06,175.2557830633415
2011-05-09,191.10700379216806
2011-05-10,185.67552444105192
2011-05-13,198.4711802728054
2011-05-16,217.70607330905202
2011-05-21,182.72161992388502
2011-05-23,240.38451567402623
2011-05-26,221.61728052741256
2011-05-27,238.92431942774317
2011-05-28,194.20486075581732
2011-06-02,221.0166877441279
2011-06-03,236.37451987450657
2011-06-08,180.2264668285657
2011-06-09,212.8940289950531
2011-06-13,234.2218190284503
2011-06-17,227.99909609309867
2011-06-18,183.55476814997135
2011-06-21,230.6456700818575
2011-06-22,183.42282147019017
2011-06-24,236.5027895227171
2011-06-25,192.80456156382218
2011-06-30,229.26284731555313
2011-07-01,247.14186612625807
2011-07-04,258.76857659670975
2011-07-05,251.42358432459247
2011-07-06,204.351153527372
2011-07-08,257.74236021639814
2011-07-09,214.29424750346217
2011-07-12,264.2078503993725
2011-07-13,217.9834057012521
2011-07-14,254.20807588515711
2011-07-18,289.29127391613326
2011-07-19,283.49815130306644
2011-07-20,237.92724677584127
2011-07-21,274.599948688885
2011-07-22,293.8868909551934
2011-07-23,251.3554876846186
2011-07-25,308.59866366847496
2011-07-26,301.66147140338194
2011-07-27,254.5634209146524
2011-07-30,261.16161001099186
2011-08-01,312.21269367111563
2011-08-03,251.0816584873198
2011-08-04,282.1091332361009
2011-08-05,295.34680446266407
2011-08-08,290.5052590720703
2011-08-09,276.971822088684
2011-08-11,252.08518671505556
2011-08-12,263.38796992239804
2011-08-15,255.85570301507843
2011-08-19,232.7531703135618
2011-08-23,222.76706079302798
2011-08-24,173.29064695740078
2011-08-25,206.55820058342928
2011-08-26,222.94808783130546
2011-08-27,178.02708675398665
2011-08-29,231.96975532168716
2011-08-31,176.4527470709823
2011-09-01,211.0745424320085
2011-09-06,227.03318450246314
2011-09-07,177.4682817411826
2011-09-08,209.69518384908588
2011-09-10,176.35361223068577
2011-09-11,216.95638469892327
2011-09-13,209.51848547744467
2011-09-17,146.69509249525862
2011-09-19,188.97951798722534
2011-09-20,175.20877005483297
2011-09-21,121.920127254877
2011-09-22,151.28578718109696
2011-09-23,163.8261642721493
2011-09-24,115.25371138673941
2011-09-25,156.1891299897174
2011-09-26,163.06580002575924
2011-09-27,152.97250916065772
2011-09-29,137.89559860870784
2011-09-30,155.43089435151649
2011-10-01,112.10189739348618
2011-10-02,158.42077931075607
2011-10-03,170.70842690642215
2011-10-04,165.9399936097671
2011-10-05,121.97969790413373
2011-10-06,160.81123355777044
2011-10-09,193.0156499913804
2011-10-10,208.00760753665065
2011-10-11,205.25384104596466
2011-10-12,162.56061574623854
2011-10-13,201.92018243055637
2011-10-16,231.37121402376323
2011-10-18,238.54098749929435
2011-10-19,192.5583187603727
2011-10-21,245.94802956854863
2011-10-24,253.46974156710343
2011-10-25,243.6227695623848
2011-10-26,193.54394248934835
2011-10-28,239.60675490070432
2011-10-31,239.26573827855054
2011-11-01,227.7982888730295
2011-11-02,176.6272303907529
2011-11-03,207.8869729302079
2011-11-04,222.05743161997253
2011-11-05,174.8091145926306
2011-11-07,224.1850357952806
2011-11-08,214.25316320369276
2011-11-09,164.86796127646477
2011-11-10,198.0930831916446
2011-11-11,214.33600850838098
2011-11-12,169.1953368818595
2011-11-15,214.5060707040296
2011-11-16,166.73224451719727
2011-11-17,201.32123159516289
2011-11-18,218.65011967029966
2011-11-19,174.25435528381837
2011-11-21,228.2548742764195
2011-11-22,219.98897814410128
2011-11-23,171.79766010202863
2011-11-24,205.73643895546542
2011-11-25,222.22258440358226
2011-11-26,176.8815104437751
2011-11-28,228.75765438792564
2011-11-29,219.41977347195427
2011-11-30,170.22063338723834
2011-12-01,203.2655353683829
2011-12-05,224.65495247798162
2011-12-06,215.530647239777
2011-12-07,166.81691442407077
2011-12-08,200.6140008465314
2011-12-09,217.36986415536256
2011-12-10,172.72560549688788
2011-12-12,227.26224249294992
2011-12-13,219.8429657471013
2011-12-15,208.48594948918645
2011-12-16,226.9940315777023
2011-12-19,241.43692920483778
2011-12-20,235.15416142838
2011-12-21,189.04353394754997
2011-12-22,225.18838046397073
2011-12-24,200.97448539408606
2011-12-26,257.51095181035237
2011-12-27,250.3958747967013
2011-12-28,203.2873013192959
2011-12-29,238.24801425323184
2011-12-30,255.70202424847017
2011-12-31,211.2807105017502
2012-01-05,241.6670338536856
2012-01-06,258.1025186789456
2012-01-13,259.33490409583726
2012-01-23,271.92216540897107
2012-01-26,245.54042248353937
2012-01-27,260.0871259668444
2012-01-30,258.28775363579155
2012-02-03,230.6434225010362
2012-02-06,217.96864698344504
2012-02-09,173.03793397952128
2012-02-15,107.77148318443132
2012-02-16,139.26317208838316
2012-02-18,109.70826061085737
2012-02-21,162.57755744235038
2012-02-27,226.63120693756363
2012-02-29,196.2817024821867
2012-03-02,275.84294309381096
2012-03-06,334.2441904395573
2012-03-08,346.7064442902244
2012-03-13,411.6678854150115
2012-03-14,369.0097857066375
2012-03-15,407.13117276435503
2012-03-16,426.43635826797964
2012-03-19,433.3490170529245
2012-03-20,421.54957272347883
2012-03-22,396.9151583973735
2012-03-23,406.79376749327423
2012-03-24,354.0665057098059
2012-03-26,389.3273021665526
2012-03-27,370.9965022168907
2012-03-28,312.4942493301569
2012-03-29,336.02528443835496
2012-04-02,318.88513862168753
2012-04-05,267.07081495939474
2012-04-09,259.74780510877423
2012-04-10,244.45660309698565
2012-04-11,189.89993756889515
2012-04-12,218.13094672752558
2012-04-13,229.55093214773305
2012-04-14,179.75730577261834
2012-04-17,212.19813151549988
2012-04-18,160.54675700452273
2012-04-22,199.7799057211306
2012-04-25,147.09637808445348
2012-04-26,179.94303340321522
2012-04-27,195.78905008823634
2012-04-30,203.17440787019308
2012-05-01,195.02439181811633
2012-05-03,182.4811459118123
2012-05-08,209.0386712363235
2012-05-10,200.77005142191214
2012-05-11,220.79514866930862
2012-05-12,179.29929129728174
2012-05-14,239.53815515259467
2012-05-18,247.0118796739308
2012-05-21,263.2462340227664
2012-05-22,256.77865082830226
2012-05-23,210.17715013381857
2012-05-25,263.1509242315705
2012-05-26,218.76659772420905
2012-05-28,271.9170608141078
2012-05-29,262.8965595109366
2012-05-31,246.74263822883825
2012-06-01,262.1821466440165
2012-06-04,265.69771978950564
2012-06-07,237.94530745745834
2012-06-09,206.88089144841553
2012-06-13,199.71339527503451
2012-06-15,250.0089178728123
2012-06-18,259.1492551358055
2012-06-19,251.29762274707502
2012-06-20,203.80987379864064
2012-06-22,256.4563896762764
2012-06-23,212.5862573584102
2012-06-25,267.95767449050646
2012-06-28,248.47075054236976
2012-07-04,222.76040656448322
2012-07-06,275.7047657010529
2012-07-10,281.0045775366335
2012-07-11,234.4577429890072
2012-07-14,246.40826043843228
2012-07-16,304.3470505394612
2012-07-17,298.37037115379866
2012-07-18,252.66890794192173
2012-07-19,289.2709315321397
2012-07-25,270.2653565768477
2012-07-26,305.43643375917054
2012-07-30,330.4019954105406
2012-08-01,270.4114211776283
2012-08-02,301.9864643854237
2012-08-07,298.8065185319843
2012-08-08,245.43664589745632
2012-08-10,285.381772671193
2012-08-13,277.0827328987765
2012-08-15,210.0003069073613
2012-08-16,239.30988951923564
2012-08-17,251.71671026119887
2012-08-21,238.75679516977988
2012-08-24,236.8719200399144
2012-08-25,191.38055239599217
2012-08-27,244.4384262309115
2012-08-28,236.25305210283557
2012-08-31,240.2140345914792
2012-09-01,195.6788262666344
2012-09-03,248.96172268949422
2012-09-04,240.0324242486915
2012-09-05,190.92082866681156
2012-09-06,223.64616419929476
2012-09-07,238.59412639345643
2012-09-08,191.36444164267868
2012-09-10,238.34515830765616
2012-09-11,225.98764770873268
2012-09-12,173.39424630757196
2012-09-13,202.68733568114195
2012-09-14,214.35634323771438
2012-09-17,206.17847182100803
2012-09-18,192.10848149135654
2012-09-19,138.38917262978
2012-09-20,167.1958044467404
2012-09-21,179.05510913901713
2012-09-22,129.68897216704522
2012-09-24,175.62774334531787
2012-09-25,164.4868703424308
2012-09-26,114.3028766733226
2012-09-27,147.18712966692402
2012-09-28,163.58848956009766
2012-10-01,175.62785719694358
